username,yearmonth,videos_per_month,hashtag_names,post_duet,high_level_cat,broad_categories
superockstar101,201802,1,3,0,Others,Family & Relationships
superockstar101,201807,4,2,0,"Others, Comedy","Humor & Fun, Family & Relationships"
superockstar101,201810,1,3,0,Others,Family & Relationships
superockstar101,202106,4,6,1,"music, Others, Others
","Music & Dance, Family & Relationships"
superockstar101,202107,6,6,1,"music, Others, Comedy","Humor & Fun, Music & Dance, Family & Relationships"
superockstar101,202108,1,3,1,Others,Family & Relationships
krazygrl6,201802,4,7,0,"music, Others","Music & Dance, Family & Relationships"
krazygrl6,201804,1,7,0,Others,Family & Relationships
krazygrl6,201807,5,14,0,"comedy, Others","Family & Relationships, Humor & Fun"
krazygrl6,201808,2,9,0,"comedy, Others","Family & Relationships, Humor & Fun"
krazygrl6,201902,3,10,0,"No description, Others",Family & Relationships
krazygrl6,201903,5,13,0,"music, No description, comedy, Others","Family & Relationships, Music & Dance, Humor & Fun"
krazygrl6,201904,18,36,1,"music, art, comedy, Others, Art, dance, Others, LGBTQ+,Others, comedy, music, lgbt","Family & Relationships, Art & Creativity, Music & Dance, Humor & Fun"
krazygrl6,201905,6,12,1,"No description, Others, Comedy","Humor & Fun, Family & Relationships"
krazygrl6,201906,4,16,1,"Others, Pets",Family & Relationships
krazygrl6,201907,5,14,1,"fashion, fashion, cosplay, Others","Beauty & Fashion, Family & Relationships"
krazygrl6,201908,1,6,1,Others,Family & Relationships
krazygrl6,201909,5,10,1,"aesthetic, mood, lgbt, makeup, No description, makeup, Others","Emotional & Mental Health, Family & Relationships"
krazygrl6,201911,2,9,1,"comedy, dance","Music & Dance, Humor & Fun"
krazygrl6,201912,2,7,1,comedy,Humor & Fun
krazygrl6,202001,3,9,1,"Technology, Others, Music, LGBT, Makeup, Comedy","Beauty & Fashion, Humor & Fun, Technology & Innovation, Family & Relationships"
krazygrl6,202002,3,9,1,"comedy, Others, dance","Family & Relationships, Music & Dance, Humor & Fun"
krazygrl6,202003,10,20,1,"fashion, time travel, dance, Others, comedy, fashion, music, dance, Crafts","Music & Dance, Family & Relationships, Beauty & Fashion, Art & Creativity, Humor & Fun"
krazygrl6,202004,1,0,1,Comedy,Humor & Fun
krazygrl6,202010,7,25,1,"Others, comedy, skincare, comedy, fashion, makeup","Humor & Fun, Beauty & Fashion, Family & Relationships"
krazygrl6,202011,4,9,1,"Beauty, Skincare, Others, Beauty, Self-care","Wellness & Self-Care, Family & Relationships"
krazygrl6,202012,1,1,1,Others,Family & Relationships
krazygrl6,202105,1,8,1,Others,Family & Relationships
krazygrl6,202109,3,11,1,"Others, Crafts","Art & Creativity, Family & Relationships"
krazygrl6,202110,8,20,1,"music, dance, Others, Comedy","Humor & Fun, Music & Dance, Family & Relationships"
krazygrl6,202111,7,25,1,"Others, fashion, Comedy, music, dance, No description","Beauty & Fashion, Humor & Fun, Music & Dance, Family & Relationships"
krazygrl6,202112,17,44,1,"music, fashion, beauty, Family Dynamics, Social Media, Others, Comedy","Beauty & Fashion, Humor & Fun, Music & Dance, Family & Relationships"
krazygrl6,202201,2,5,1,"music, No description",Music & Dance
krazygrl6,202202,2,2,1,"No description, animation, music",Music & Dance
krazygrl6,202203,2,7,1,"music, Comedy","Music & Dance, Humor & Fun"
krazygrl6,202206,1,0,1,No description,Others
xnadahasan,201802,2,5,0,"Others, Music, Dance",Family & Relationships
xnadahasan,201807,1,0,0,No description,Others
xnadahasan,201810,5,1,0,"No description, Others, dance","Music & Dance, Family & Relationships"
xnadahasan,201811,6,1,1,"No description, Others, Comedy","Humor & Fun, Family & Relationships"
xnadahasan,201812,7,3,1,"Travel, Others, Comedy, music, dance, No description","Humor & Fun, Music & Dance, Travel & Exploration, Family & Relationships"
musical_demon_kitty,201802,1,1,0,Others,Family & Relationships
musical_demon_kitty,201803,1,0,0,Others,Family & Relationships
musical_demon_kitty,201810,1,0,0,No description,Others
musical_demon_kitty,201811,16,2,0,"Fantasy, Others, Fantasy, Comedy, Comedy, No description","Humor & Fun, Family & Relationships"
musical_demon_kitty,201812,1,0,0,No description,Others
musical_demon_kitty,202005,1,0,0,Others,Family & Relationships
musical_demon_kitty,202006,1,1,0,Others,Family & Relationships
musical_demon_kitty,202112,1,1,0,Others,Family & Relationships
musical_demon_kitty,202209,1,0,0,No description,Others
musical_demon_kitty,202210,1,3,0,Others,Family & Relationships
kkummer45227,201710,2,4,0,Music,Others
kkummer45227,201711,10,4,0,"Others, Music, Music, Dance, No description, Music, Comedy","Humor & Fun, Family & Relationships"
kkummer45227,201801,1,0,0,Others,Family & Relationships
kkummer45227,201802,7,5,0,"Others, Comedy","Humor & Fun, Family & Relationships"
kkummer45227,201803,3,2,0,"Travel, Others","Travel & Exploration, Family & Relationships"
lover0504,201802,1,0,0,Others,Family & Relationships
lover0504,201803,1,0,0,Others,Family & Relationships
lover0504,201804,13,1,1,Others,Family & Relationships
lover0504,201805,8,1,1,"No description, Others",Family & Relationships
lover0504,201806,1,0,1,No description,Others
lover0504,201807,1,0,1,Others,Family & Relationships
sraze_raze,201802,16,1,0,"No description, Others, Comedy","Humor & Fun, Family & Relationships"
sraze_raze,201803,2,0,0,"Others, Comedy","Humor & Fun, Family & Relationships"
sraze_raze,201804,2,0,0,"gaming, Others",Family & Relationships
sraze_raze,201807,2,0,0,"Others, Comedy","Humor & Fun, Family & Relationships"
sraze_raze,201808,2,0,0,"Gaming, Others","Family & Relationships, Gaming & Entertainment"
kenaia_bhadd12,201802,1,0,0,Others,Family & Relationships
kenaia_bhadd12,201805,3,0,0,"No description, Others",Family & Relationships
kenaia_bhadd12,201810,1,0,0,Others,Family & Relationships
kenaia_bhadd12,201811,7,1,1,"fashion, Others, Comedy, dance","Beauty & Fashion, Humor & Fun, Music & Dance, Family & Relationships"
kenaia_bhadd12,201812,11,1,1,"comedy,dance, Holidays, Others",Family & Relationships
kenaia_bhadd12,201901,5,0,1,"dance, birthday messages, Others","Music & Dance, Family & Relationships"
kenaia_bhadd12,201902,5,0,1,"No description, Others, dance","Music & Dance, Family & Relationships"
kenaia_bhadd12,201903,8,0,1,"No description, Others, Comedy","Humor & Fun, Family & Relationships"
kenaia_bhadd12,201904,2,0,1,No description,Others
kenaia_bhadd12,201905,5,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,201906,3,0,1,"Others, Comedy","Humor & Fun, Family & Relationships"
kenaia_bhadd12,201907,3,1,1,"No description, Others",Family & Relationships
kenaia_bhadd12,201908,2,0,1,Others,Family & Relationships
kenaia_bhadd12,201909,2,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,201910,1,0,1,No description,Others
kenaia_bhadd12,201911,1,0,1,"music, dance",Music & Dance
kenaia_bhadd12,201912,4,0,1,No description,Others
kenaia_bhadd12,202001,1,0,1,No description,Others
kenaia_bhadd12,202003,12,0,1,"No description, Others, dance","Music & Dance, Family & Relationships"
kenaia_bhadd12,202004,20,0,1,"No description, comedy, Others, Comedy","Family & Relationships, Humor & Fun"
kenaia_bhadd12,202005,13,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202006,9,0,1,No description,Others
kenaia_bhadd12,202007,5,0,1,No description,Others
kenaia_bhadd12,202008,4,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202009,22,2,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202010,16,3,1,"No description, comedy, Others","Family & Relationships, Humor & Fun"
kenaia_bhadd12,202011,15,3,1,"No description, Others, Comedy","Humor & Fun, Family & Relationships"
kenaia_bhadd12,202012,7,1,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202101,2,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202102,2,0,1,No description,Others
kenaia_bhadd12,202103,4,0,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202104,7,1,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202105,2,0,1,No description,Others
kenaia_bhadd12,202106,1,0,1,No description,Others
kenaia_bhadd12,202107,3,1,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202111,2,0,1,No description,Others
kenaia_bhadd12,202207,2,0,1,Comedy,Humor & Fun
kenaia_bhadd12,202208,3,1,1,"comedy, dance, No description, Others","Family & Relationships, Music & Dance, Humor & Fun"
kenaia_bhadd12,202209,2,0,1,No description,Others
kenaia_bhadd12,202210,2,0,1,No description,Others
kenaia_bhadd12,202211,3,4,1,"No description, Others",Family & Relationships
kenaia_bhadd12,202212,1,0,1,No description,Others
kenaia_bhadd12,202302,1,1,1,Others,Family & Relationships
